Date,Time,I_DC,V_DC,LineSpeed,Power_Out,V_Out
04/09/2023,18:00:28,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:29,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:30,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:31,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:32,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:33,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:34,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:35,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:36,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:37,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:38,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:39,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:40,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:41,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:42,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:43,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:44,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:45,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:46,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:47,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:48,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:49,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:50,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:51,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:52,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:53,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:54,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:55,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:56,0.00,0.00,0.00,0.00,0.00
04/09/2023,18:00:57,0.00,0.00,0.00,0.00,0.00
